web-scraper-order,web-scraper-start-url,nombre,calificacion
1614891219-69,https://www.rappi.com.mx/restaurantes/category/pizza,College Bar,null
1614891219-41,https://www.rappi.com.mx/restaurantes/category/pizza,Little Caesars,4.8
1614891219-80,https://www.rappi.com.mx/restaurantes/category/pizza,Di Vino Italian Restaurant,null
1614891219-56,https://www.rappi.com.mx/restaurantes/category/pizza,Benedetti's,null
1614891219-55,https://www.rappi.com.mx/restaurantes/category/pizza,Dio Pizza,null
1614891219-59,https://www.rappi.com.mx/restaurantes/category/pizza,Pizzeria Ricum Di Vendi,null
1614891219-76,https://www.rappi.com.mx/restaurantes/category/pizza,Pura Gula,null
1614891219-63,https://www.rappi.com.mx/restaurantes/category/pizza,Piu Pizza,null
1614891219-42,https://www.rappi.com.mx/restaurantes/category/pizza,Crécola,4.7
1614891219-43,https://www.rappi.com.mx/restaurantes/category/pizza,Il Diavolo,4.7
1614891219-72,https://www.rappi.com.mx/restaurantes/category/pizza,La Vieja Varsovia,null
1614891219-46,https://www.rappi.com.mx/restaurantes/category/pizza,La Gabella,null
1614891219-75,https://www.rappi.com.mx/restaurantes/category/pizza,Alpaso Pizza,null
1614891219-52,https://www.rappi.com.mx/restaurantes/category/pizza,Tonino´s Pizza,null
1614891219-53,https://www.rappi.com.mx/restaurantes/category/pizza,Diktatur,4.2
1614891219-74,https://www.rappi.com.mx/restaurantes/category/pizza,Lucco Pizza,null
1614891219-77,https://www.rappi.com.mx/restaurantes/category/pizza,Mama’s y Papa’s,null
1614891219-47,https://www.rappi.com.mx/restaurantes/category/pizza,Domino's Pizza,4.2
1614891219-57,https://www.rappi.com.mx/restaurantes/category/pizza,Santa Fortuna,null
1614891219-58,https://www.rappi.com.mx/restaurantes/category/pizza,Ketomorfosis By Cosecha Propia Mx,null
1614891219-61,https://www.rappi.com.mx/restaurantes/category/pizza,ke chelas,null
1614891219-66,https://www.rappi.com.mx/restaurantes/category/pizza,Zapata Pizza,4.5
1614891219-64,https://www.rappi.com.mx/restaurantes/category/pizza,Dio Pizza.,null
1614891219-73,https://www.rappi.com.mx/restaurantes/category/pizza,Mozza Pizzería,null
1614891219-49,https://www.rappi.com.mx/restaurantes/category/pizza,Pizzería Ragazzo,null
1614891219-48,https://www.rappi.com.mx/restaurantes/category/pizza,Pizzeta,4.9
1614891219-70,https://www.rappi.com.mx/restaurantes/category/pizza,Gusto Mío,null
1614891219-54,https://www.rappi.com.mx/restaurantes/category/pizza,Pizza Tec,null
1614891219-78,https://www.rappi.com.mx/restaurantes/category/pizza,Galia - Postreria y Pizza,null
1614891219-62,https://www.rappi.com.mx/restaurantes/category/pizza,La Pizzoleta,4.4
1614891219-44,https://www.rappi.com.mx/restaurantes/category/pizza,Pizza Hut,4.5
1614891219-50,https://www.rappi.com.mx/restaurantes/category/pizza,California Pizza Kitchen,null
1614891219-67,https://www.rappi.com.mx/restaurantes/category/pizza,Ipanema,null
1614891219-79,https://www.rappi.com.mx/restaurantes/category/pizza,Crilu Pizza,null
1614891219-71,https://www.rappi.com.mx/restaurantes/category/pizza,Stromboli Pizza,null
1614891219-51,https://www.rappi.com.mx/restaurantes/category/pizza,Cheese Up,4.2
1614891219-65,https://www.rappi.com.mx/restaurantes/category/pizza,La Filippa Pizza,null
1614891219-45,https://www.rappi.com.mx/restaurantes/category/pizza,El Reinita,null
1614891219-60,https://www.rappi.com.mx/restaurantes/category/pizza,La Piccola Italia,null
1614891219-68,https://www.rappi.com.mx/restaurantes/category/pizza,La Piccola Trattoria,null
